catchment,year,replicate,position,date_in,date_out,daysout_number,initialmass_g,massloss_g
34M,2001,4,surface,2001-05-31,2001-06-20,20,0.1609,0.0280
34M,2001,5,surface,2001-05-31,2001-06-20,20,0.1993,0.0225
34M,2001,1,surface,2001-09-20,2001-10-16,26,0.144,0.0348
34M,2001,2,surface,2001-09-20,2001-10-16,26,0.1762,0.0359
34M,2001,3,surface,2001-09-20,2001-10-16,26,0.1722,0.0318
34M,2001,4,surface,2001-09-20,2001-10-16,26,0.1498,0.0268
34M,2001,5,surface,2001-09-20,2001-10-16,26,0.1496,0.0294
37,2000,1,surface,2000-05-16,2000-07-25,70,0.1144,0.0204
37,2000,2,surface,2000-05-16,2000-07-25,70,0.139,0.0228
37,2000,3,surface,2000-05-16,2000-07-25,70,0.1053,0.0130
37,2000,4,surface,2000-05-16,2000-07-25,70,0.1013,0.0296
37,2000,5,surface,2000-05-16,2000-07-25,70,0.1221,0.0178
37,2000,1,surface,2000-05-16,2000-08-08,84,0.1135,NA
37,2000,2,surface,2000-05-16,2000-08-08,84,0.1137,NA
37,2000,3,surface,2000-05-16,2000-08-08,84,0.1012,0.0287
37,2000,4,surface,2000-05-16,2000-08-08,84,0.1044,0.0048
37,2000,5,surface,2000-05-16,2000-08-08,84,NA,NA
38,2000,1,surface,2000-05-16,2000-07-25,70,0.0986,0.0732
38,2000,2,surface,2000-05-16,2000-07-25,70,0.1038,0.0740
38,2000,3,surface,2000-05-16,2000-07-25,70,0.1034,0.0574
38,2000,4,surface,2000-05-16,2000-07-25,70,0.1162,0.0640
38,2000,5,surface,2000-05-16,2000-07-25,70,NA,NA
38,2000,1,surface,2000-05-16,2000-08-08,84,0.1058,0.0734
38,2000,2,surface,2000-05-16,2000-08-08,84,0.10780000000000001,0.0946
38,2000,3,surface,2000-05-16,2000-08-08,84,0.0961,0.0679
38,2000,4,surface,2000-05-16,2000-08-08,84,0.1036,NA
38,2000,5,surface,2000-05-16,2000-08-08,84,0.1037,0.0528
38,2001,1,surface,2001-09-28,2001-10-22,24,0.1695,0.0304
38,2001,2,surface,2001-09-28,2001-10-22,24,0.1655,0.0365
38,2001,3,surface,2001-09-28,2001-10-22,24,0.1834,0.0267
38,2001,4,surface,2001-09-28,2001-10-22,24,0.1698,0.0230
38,2001,5,surface,2001-09-28,2001-10-22,24,0.1491,0.0197
38,2001,6,surface,2001-09-28,2001-10-22,24,0.155,0.0238
38,2001,7,surface,2001-09-28,2001-10-22,24,0.2041,0.0301
38,2001,8,surface,2001-09-28,2001-10-22,24,0.1661,0.0289
